latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
48.18843,-64.92245,301.76,0.38,0.36,2024-08-09,06:22,N21,nominal,2.0NRT,286.58,0.44,N
41.56486,-84.04423,297.85,0.65,0.73,2024-08-09,06:25,N21,nominal,2.0NRT,270.11,1.37,N
41.46894,-83.36638,296.57,0.6,0.7,2024-08-09,06:25,N21,nominal,2.0NRT,269.73,1.54,N
42.29697,-83.16997,301.63,0.59,0.7,2024-08-09,06:25,N21,nominal,2.0NRT,275.88,2.04,N
42.28323,-83.11323,302.76,0.58,0.7,2024-08-09,06:25,N21,nominal,2.0NRT,282.09,0.94,N
42.29656,-83.17459,298.03,0.59,0.7,2024-08-09,06:25,N21,nominal,2.0NRT,279.21,1.75,N
42.28996,-83.16757,300.37,0.59,0.7,2024-08-09,06:25,N21,nominal,2.0NRT,280.7,1.72,N
41.56784,-84.04622,302.96,0.65,0.73,2024-08-09,06:25,N21,nominal,2.0NRT,269.01,2.04,N
41.46888,-83.36867,295.93,0.6,0.7,2024-08-09,06:25,N21,nominal,2.0NRT,267.23,1.01,N
34.34418,-82.77881,302.73,0.49,0.65,2024-08-09,06:27,N21,nominal,2.0NRT,288.45,1.17,N
34.34634,-82.77838,303.8,0.49,0.65,2024-08-09,06:27,N21,nominal,2.0NRT,288.53,1.18,N
34.72726,-82.53992,305.12,0.48,0.65,2024-08-09,06:27,N21,nominal,2.0NRT,287.29,1.3,N
34.94132,-85.70333,303.36,0.74,0.76,2024-08-09,06:27,N21,nominal,2.0NRT,289.9,2.42,N
34.93916,-85.70561,303.87,0.74,0.76,2024-08-09,06:27,N21,nominal,2.0NRT,289.8,2.06,N
33.46462,-85.35475,310.25,0.69,0.74,2024-08-09,06:27,N21,nominal,2.0NRT,285.44,3.68,N
30.47642,-83.40252,304.59,0.5,0.66,2024-08-09,06:29,N21,nominal,2.0NRT,290.53,2.2,N
28.28568,-82.1267,319.27,0.4,0.6,2024-08-09,06:29,N21,nominal,2.0NRT,293.15,2.03,N
28.28625,-82.12566,316.64,0.4,0.6,2024-08-09,06:29,N21,nominal,2.0NRT,293.16,1.89,N
30.20597,-81.97544,303.56,0.41,0.6,2024-08-09,06:29,N21,nominal,2.0NRT,291.05,1,N
30.47805,-83.40003,304.64,0.5,0.66,2024-08-09,06:29,N21,nominal,2.0NRT,290.34,2.23,N
18.48091,-69.23114,308.77,0.55,0.42,2024-08-09,06:31,N21,nominal,2.0NRT,294.23,1.05,N
19.4642,-70.78425,321.19,0.44,0.39,2024-08-09,06:31,N21,nominal,2.0NRT,293.64,2.45,N
19.81372,-71.2263,308.42,0.42,0.38,2024-08-09,06:31,N21,nominal,2.0NRT,291.44,0.48,N
18.02616,-66.273,306.39,0.56,0.52,2024-08-09,06:31,N21,nominal,2.0NRT,292.42,1.41,N
18.29174,-70.47094,313.02,0.47,0.4,2024-08-09,06:31,N21,nominal,2.0NRT,295,1.53,N
44.16642,-87.70297,299.89,0.45,0.39,2024-08-09,08:05,N21,nominal,2.0NRT,285.08,0.94,N
43.70188,-88.38582,311.71,0.44,0.38,2024-08-09,08:05,N21,nominal,2.0NRT,286.39,1.83,N
43.40342,-87.9498,305.44,0.46,0.39,2024-08-09,08:05,N21,nominal,2.0NRT,285.29,0.88,N
42.2975,-83.15705,337.63,0.51,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,292.08,14.07,N
42.29608,-83.17084,311.31,0.51,0.49,2024-08-09,08:05,N21,nominal,2.0NRT,289.58,1.88,N
42.28141,-83.11141,311.19,0.52,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,290.06,1.38,N
42.29028,-83.16685,303.18,0.51,0.49,2024-08-09,08:05,N21,nominal,2.0NRT,288.93,1.4,N
42.27567,-83.12725,302.85,0.51,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,289.03,0.91,N
42.94835,-82.41713,300.37,0.54,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,287.68,2.19,N
42.28476,-83.11147,300.96,0.52,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,287.99,1.84,N
42.29476,-83.17306,307.95,0.51,0.49,2024-08-09,08:05,N21,nominal,2.0NRT,289.64,1.43,N
42.29333,-83.16712,301.31,0.51,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,288.87,1.43,N
42.47942,-87.88406,301.36,0.47,0.4,2024-08-09,08:05,N21,nominal,2.0NRT,285.53,0.55,N
41.46637,-83.36462,312.32,0.53,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,288.23,2.13,N
41.46199,-83.36658,302.98,0.53,0.5,2024-08-09,08:05,N21,nominal,2.0NRT,287.37,2.24,N
41.56528,-84.04341,331.56,0.48,0.48,2024-08-09,08:05,N21,nominal,2.0NRT,289.07,4.68,N
